age,weight,height,sex,distance,time,first distance,first time,first days before main event,second distance,second time,second days before main event
56.0,75.0,1.85,M,21.0975,91.63333333333334,10.0,42.166666666666664,84.0,5.0,20.933333333333334,85.0
24.0,46.0,1.66,M,21.0975,71.81666666666666,10.0,32.166666666666664,120.0,5.0,15.633333333333333,126.0
23.0,46.0,1.66,M,21.0975,70.63333333333334,10.0,32.93333333333333,113.0,5.0,15.566666666666666,7.0
23.0,46.0,1.66,M,21.0975,72.68333333333334,10.0,34.21666666666667,147.0,5.0,16.1,140.0
19.0,46.0,1.66,M,21.0975,74.65,10.0,34.36666666666667,77.0,5.0,17.033333333333335,141.0
41.0,65.0,1.82,M,21.0975,72.6,10.0,31.65,43.0,5.0,15.266666666666667,63.0
41.0,65.0,1.82,M,21.0975,71.48333333333333,10.0,32.55,105.0,5.0,16.15,70.0
40.0,65.0,1.82,M,21.0975,73.81666666666666,10.0,32.15,175.0,5.0,15.7,129.0
40.0,65.0,1.82,M,21.0975,71.6,10.0,32.21666666666667,14.0,5.0,15.683333333333334,167.0
39.0,65.0,1.82,M,21.0975,70.15,10.0,31.916666666666668,168.0,5.0,15.75,115.0
39.0,65.0,1.82,M,21.0975,70.36666666666666,10.0,32.65,154.0,5.0,15.9,7.0
36.0,65.0,1.82,M,21.0975,78.11666666666666,10.0,33.983333333333334,153.0,5.0,15.55,93.0
36.0,58.0,1.71,M,21.0975,70.88333333333334,10.0,32.333333333333336,28.0,5.0,15.6,49.0
34.0,60.0,1.79,F,21.0975,107.31666666666666,10.0,40.61666666666667,77.0,5.0,19.383333333333333,176.0
28.0,60.0,1.79,F,21.0975,103.56666666666666,10.0,45.65,148.0,5.0,22.416666666666668,154.0
24.0,70.0,1.82,M,21.0975,83.68333333333334,10.0,36.96666666666667,21.0,5.0,17.666666666666668,98.0
23.0,70.0,1.82,M,21.0975,95.68333333333334,10.0,37.43333333333333,35.0,5.0,17.75,70.0
23.0,70.0,1.82,M,21.0975,84.45,10.0,38.65,112.0,5.0,18.1,21.0
33.0,69.0,1.77,M,21.0975,82.88333333333334,10.0,39.233333333333334,56.0,5.0,19.516666666666666,155.0
37.0,83.0,1.86,M,21.0975,87.51666666666667,10.0,38.78333333333333,112.0,5.0,18.066666666666666,57.0
36.0,69.0,1.78,M,21.0975,83.53333333333333,10.0,37.766666666666666,28.0,5.0,18.133333333333333,70.0
36.0,69.0,1.78,M,21.0975,85.91666666666667,10.0,36.516666666666666,106.0,5.0,17.55,175.0
22.0,55.0,1.78,M,21.0975,81.81666666666666,10.0,34.25,91.0,5.0,16.25,147.0
51.0,74.0,1.77,M,21.0975,91.55,10.0,41.61666666666667,8.0,5.0,19.666666666666668,168.0
47.0,86.0,1.77,M,21.0975,91.66666666666667,10.0,40.833333333333336,112.0,5.0,19.783333333333335,98.0
25.0,49.0,1.63,F,21.0975,72.25,10.0,33.56666666666667,105.0,5.0,16.633333333333333,29.0
26.0,69.0,1.8,M,21.0975,75.15,10.0,33.61666666666667,63.0,5.0,15.616666666666667,168.0
25.0,69.0,1.8,M,21.0975,74.96666666666667,10.0,33.43333333333333,169.0,5.0,15.15,129.0
24.0,69.0,1.8,M,21.0975,80.76666666666667,10.0,33.86666666666667,14.0,5.0,15.9,175.0
23.0,69.0,1.8,M,21.0975,76.4,10.0,35.28333333333333,7.0,5.0,15.633333333333333,70.0
26.0,62.0,1.77,M,21.0975,77.61666666666666,10.0,34.166666666666664,28.0,5.0,16.616666666666667,49.0
45.0,65.0,1.7,M,21.0975,81.8,10.0,37.583333333333336,91.0,5.0,18.416666666666668,161.0
56.0,68.0,1.81,M,21.0975,107.0,10.0,48.516666666666666,126.0,5.0,18.266666666666666,43.0
43.0,66.0,1.8,M,21.0975,119.85,10.0,38.516666666666666,70.0,5.0,17.95,37.0
60.0,67.0,1.72,M,21.0975,83.96666666666667,10.0,37.63333333333333,15.0,5.0,18.483333333333334,35.0
59.0,67.0,1.72,M,21.0975,89.45,10.0,37.63333333333333,98.0,5.0,18.783333333333335,154.0
54.0,67.0,1.72,M,21.0975,94.31666666666666,10.0,39.13333333333333,162.0,5.0,19.4,56.0
53.0,67.0,1.72,M,21.0975,86.05,10.0,39.35,35.0,5.0,19.6,97.0
51.0,67.0,1.72,M,21.0975,89.91666666666667,10.0,41.35,21.0,5.0,19.85,105.0
35.0,68.0,1.76,M,21.0975,92.11666666666666,10.0,41.483333333333334,14.0,5.0,19.65,76.0
58.0,69.0,1.69,M,21.0975,121.25,10.0,55.0,42.0,5.0,25.05,119.0
45.0,71.0,1.71,M,21.0975,99.56666666666666,10.0,41.1,175.0,5.0,20.2,105.0
27.0,60.0,1.65,F,21.0975,87.7,10.0,39.03333333333333,147.0,5.0,19.516666666666666,119.0
26.0,60.0,1.65,F,21.0975,86.53333333333333,10.0,39.86666666666667,21.0,5.0,19.45,152.0
25.0,60.0,1.65,F,21.0975,87.73333333333333,10.0,39.63333333333333,129.0,5.0,19.433333333333334,92.0
25.0,60.0,1.65,F,21.0975,89.0,10.0,40.016666666666666,154.0,5.0,19.8,13.0
24.0,60.0,1.65,F,21.0975,94.08333333333333,10.0,42.55,146.0,5.0,19.783333333333335,85.0
53.0,73.0,1.82,M,21.0975,86.41666666666667,10.0,36.06666666666667,126.0,5.0,17.866666666666667,98.0
51.0,73.0,1.82,M,21.0975,82.33333333333333,10.0,37.28333333333333,168.0,5.0,18.216666666666665,154.0
51.0,73.0,1.82,M,21.0975,81.83333333333333,10.0,37.1,119.0,5.0,18.0,91.0
48.0,73.0,1.82,M,21.0975,83.51666666666667,10.0,37.916666666666664,126.0,5.0,18.183333333333334,98.0
47.0,73.0,1.82,M,21.0975,81.18333333333334,10.0,37.416666666666664,21.0,5.0,18.383333333333333,143.0
46.0,73.0,1.82,M,21.0975,85.66666666666667,10.0,38.06666666666667,91.0,5.0,18.783333333333335,162.0
46.0,73.0,1.82,M,21.0975,90.16666666666667,10.0,38.9,31.0,5.0,18.916666666666668,56.0
46.0,73.0,1.82,M,21.0975,84.63333333333334,10.0,37.8,119.0,5.0,18.383333333333333,91.0
45.0,73.0,1.82,M,21.0975,104.35,10.0,39.81666666666667,35.0,5.0,18.333333333333332,106.0
45.0,73.0,1.82,M,21.0975,91.23333333333333,10.0,40.05,48.0,5.0,19.2,45.0
44.0,73.0,1.82,M,21.0975,86.95,10.0,39.53333333333333,15.0,5.0,19.5,92.0
23.0,48.0,1.71,F,21.0975,87.3,10.0,40.61666666666667,62.0,5.0,20.25,83.0
71.0,62.0,1.78,M,21.0975,93.48333333333333,10.0,42.78333333333333,44.0,5.0,20.85,84.0
53.0,71.0,1.83,M,21.0975,105.06666666666666,10.0,44.88333333333333,117.0,5.0,19.916666666666668,117.0
49.0,71.0,1.83,M,21.0975,99.56666666666666,10.0,44.38333333333333,12.0,5.0,19.266666666666666,12.0
43.0,60.0,1.68,M,21.0975,96.66666666666667,10.0,41.46666666666667,42.0,5.0,19.933333333333334,126.0
37.0,67.0,1.8,M,21.0975,67.75,10.0,30.766666666666666,175.0,5.0,14.683333333333334,84.0
34.0,67.0,1.8,M,21.0975,69.7,10.0,30.483333333333334,7.0,5.0,14.916666666666666,113.0
31.0,67.0,1.8,M,21.0975,71.0,10.0,32.53333333333333,83.0,5.0,15.716666666666667,13.0
47.0,67.0,1.68,M,21.0975,84.06666666666666,10.0,38.016666666666666,126.0,5.0,17.933333333333334,154.0
25.0,68.0,1.78,M,21.0975,74.26666666666667,10.0,34.11666666666667,77.0,5.0,16.466666666666665,63.0
72.0,61.0,1.66,M,21.0975,115.61666666666666,10.0,47.4,22.0,5.0,23.5,134.0
48.0,58.0,1.65,M,21.0975,94.25,10.0,42.28333333333333,20.0,5.0,19.6,6.0
61.0,63.0,1.75,M,21.0975,89.66666666666667,10.0,42.11666666666667,77.0,5.0,18.9,175.0
33.0,73.0,1.77,M,21.0975,112.0,10.0,41.95,154.0,5.0,20.166666666666668,175.0
23.0,65.0,1.71,M,21.0975,80.93333333333334,10.0,36.65,28.0,5.0,18.016666666666666,128.0
26.0,67.0,1.82,M,21.0975,73.2,10.0,33.56666666666667,119.0,5.0,16.616666666666667,133.0
47.0,62.0,1.8,M,21.0975,73.46666666666667,10.0,34.5,14.0,5.0,16.233333333333334,14.0
47.0,62.0,1.8,M,21.0975,80.8,10.0,32.7,161.0,5.0,15.933333333333334,167.0
38.0,68.0,1.73,M,21.0975,84.15,10.0,36.38333333333333,42.0,5.0,17.9,56.0
37.0,68.0,1.73,M,21.0975,86.9,10.0,39.05,42.0,5.0,19.116666666666667,56.0
51.0,58.0,1.69,M,21.0975,96.76666666666667,10.0,41.666666666666664,168.0,5.0,19.833333333333332,106.0
36.0,68.0,1.75,M,21.0975,86.53333333333333,10.0,38.38333333333333,105.0,5.0,19.016666666666666,21.0
35.0,68.0,1.75,M,21.0975,89.55,10.0,38.03333333333333,85.0,5.0,18.683333333333334,168.0
47.0,86.0,1.86,M,21.0975,148.26666666666668,10.0,40.516666666666666,34.0,5.0,20.25,139.0
43.0,86.0,1.86,M,21.0975,95.46666666666667,10.0,44.46666666666667,147.0,5.0,20.2,121.0
22.0,71.0,1.81,M,21.0975,106.23333333333333,10.0,41.0,77.0,5.0,19.633333333333333,105.0
50.0,75.0,1.78,M,21.0975,94.76666666666667,10.0,41.833333333333336,28.0,5.0,20.0,14.0
49.0,75.0,1.78,M,21.0975,96.9,10.0,40.233333333333334,56.0,5.0,20.05,141.0
48.0,75.0,1.78,M,21.0975,92.41666666666667,10.0,41.0,168.0,5.0,19.783333333333335,162.0
47.0,75.0,1.78,M,21.0975,93.56666666666666,10.0,41.4,7.0,5.0,18.75,7.0
45.0,75.0,1.78,M,21.0975,105.23333333333333,10.0,41.666666666666664,119.0,5.0,19.883333333333333,113.0
43.0,75.0,1.78,M,21.0975,99.65,10.0,41.88333333333333,14.0,5.0,17.383333333333333,178.0
42.0,75.0,1.78,M,21.0975,89.88333333333334,10.0,40.15,42.0,5.0,19.033333333333335,36.0
41.0,75.0,1.78,M,21.0975,91.31666666666666,10.0,39.4,99.0,5.0,19.4,71.0
41.0,75.0,1.78,M,21.0975,92.71666666666667,10.0,39.93333333333333,27.0,5.0,19.716666666666665,28.0
40.0,67.0,1.83,M,21.0975,67.41666666666667,10.0,30.733333333333334,14.0,5.0,14.933333333333334,35.0
39.0,67.0,1.83,M,21.0975,68.1,10.0,30.983333333333334,28.0,5.0,14.833333333333334,49.0
24.0,58.0,1.73,M,21.0975,74.73333333333333,10.0,34.516666666666666,123.0,5.0,16.883333333333333,147.0
23.0,58.0,1.73,M,21.0975,77.45,10.0,34.983333333333334,84.0,5.0,17.15,78.0
41.0,84.0,1.9,M,21.0975,82.51666666666667,10.0,36.65,85.0,5.0,18.316666666666666,28.0
27.0,58.0,1.68,M,21.0975,74.88333333333334,10.0,34.333333333333336,21.0,5.0,15.65,100.0
31.0,67.0,1.81,M,21.0975,89.16666666666667,10.0,37.766666666666666,48.0,5.0,17.516666666666666,98.0
