age,weight,height,sex,distance,time,first distance,first time,first days before main event,second distance,second time,second days before main event
53.0,75.0,1.85,M,42.195,191.41666666666666,21.0975,88.45,56.0,10.0,39.38333333333333,36.0
51.0,75.0,1.85,M,42.195,199.8,21.0975,87.36666666666666,64.0,10.0,39.96666666666667,128.0
40.0,76.0,1.9,M,42.195,175.96666666666667,21.0975,78.7,28.0,10.0,34.4,63.0
39.0,76.0,1.9,M,42.195,174.75,21.0975,78.45,28.0,10.0,35.983333333333334,119.0
34.0,61.0,1.72,M,42.195,181.8,21.0975,76.26666666666667,28.0,10.0,31.833333333333332,112.0
34.0,65.0,1.76,M,42.195,152.35,21.0975,73.33333333333333,35.0,10.0,34.21666666666667,70.0
36.0,64.0,1.7,F,42.195,275.8833333333333,21.0975,113.9,35.0,10.0,46.583333333333336,21.0
41.0,65.0,1.82,M,42.195,147.35,21.0975,71.48333333333333,168.0,10.0,31.65,15.0
40.0,65.0,1.82,M,42.195,147.85,21.0975,73.46666666666667,168.0,10.0,32.65,15.0
39.0,65.0,1.82,M,42.195,149.38333333333333,21.0975,70.15,77.0,10.0,32.35,49.0
38.0,65.0,1.82,M,42.195,149.65,21.0975,71.95,155.0,10.0,32.65,49.0
36.0,65.0,1.82,M,42.195,161.68333333333334,21.0975,75.68333333333334,112.0,10.0,35.65,14.0
35.0,65.0,1.82,M,42.195,173.31666666666666,21.0975,78.25,35.0,10.0,35.81666666666667,29.0
34.0,65.0,1.82,M,42.195,194.53333333333333,21.0975,84.56666666666666,36.0,10.0,39.6,92.0
35.0,70.0,1.88,M,42.195,162.73333333333332,21.0975,67.81666666666666,35.0,10.0,31.3,21.0
28.0,70.0,1.88,M,42.195,148.73333333333332,21.0975,70.95,21.0,10.0,31.283333333333335,42.0
57.0,86.0,1.83,M,42.195,252.61666666666667,21.0975,98.98333333333333,35.0,10.0,46.8,133.0
49.0,55.0,1.7,M,42.195,147.5,21.0975,70.76666666666667,147.0,10.0,31.316666666666666,42.0
47.0,55.0,1.7,M,42.195,153.2,21.0975,70.91666666666667,77.0,10.0,32.9,169.0
46.0,55.0,1.7,M,42.195,157.6,21.0975,70.08333333333333,42.0,10.0,32.15,169.0
36.0,77.0,1.8,M,42.195,157.13333333333333,21.0975,74.78333333333333,35.0,10.0,34.233333333333334,64.0
61.0,58.0,1.63,M,42.195,192.45,21.0975,87.9,28.0,10.0,38.733333333333334,42.0
46.0,67.0,1.7,M,42.195,188.31666666666666,21.0975,80.08333333333333,35.0,10.0,36.61666666666667,175.0
55.0,71.0,1.85,M,42.195,192.71666666666667,21.0975,87.63333333333334,42.0,10.0,38.53333333333333,98.0
53.0,71.0,1.85,M,42.195,234.51666666666668,21.0975,92.58333333333333,49.0,10.0,41.0,21.0
23.0,70.0,1.82,M,42.195,179.58333333333334,21.0975,84.45,49.0,10.0,38.65,161.0
52.0,62.0,1.72,M,42.195,174.65,21.0975,79.73333333333333,42.0,10.0,36.05,63.0
51.0,62.0,1.72,M,42.195,185.9,21.0975,79.48333333333333,70.0,10.0,37.65,161.0
51.0,62.0,1.72,M,42.195,184.81666666666666,21.0975,80.2,21.0,10.0,36.35,28.0
48.0,62.0,1.72,M,42.195,186.73333333333332,21.0975,81.18333333333334,28.0,10.0,36.45,112.0
48.0,62.0,1.72,M,42.195,178.48333333333332,21.0975,80.73333333333333,27.0,10.0,36.416666666666664,69.0
46.0,62.0,1.72,M,42.195,177.83333333333334,21.0975,81.33333333333333,35.0,10.0,37.083333333333336,175.0
